star_id,ra_deg,dec_deg,mag,reference_epoch_jyear,pm_ra_cosdec_mas_per_year,pm_dec_mas_per_year
TYC 0001-00293-1,2.36674861,1.24402806,7.401,2000.0,25.900,6.500
TYC 0001-00337-1,1.19285611,1.53694028,8.219,2000.0,-21.600,-19.800
TYC 0001-00560-1,1.53351889,0.12143778,8.340,2000.0,13.500,-8.600
TYC 0001-00680-1,2.21766000,0.69244306,7.497,2000.0,4.300,4.200
TYC 0001-00903-1,0.69642389,2.13037306,7.399,2000.0,62.200,-93.700
TYC 0001-01015-1,0.16284111,0.22293889,8.284,2000.0,40.200,-3.500
TYC 0001-01394-1,1.91669528,1.09425722,8.259,2000.0,-14.500,-22.500
TYC 0002-00468-1,2.66361667,2.30067056,8.298,2000.0,0.100,1.900
TYC 0002-00709-1,4.51506500,0.61663500,7.268,2000.0,-3.000,5.700
TYC 0002-00957-1,4.81931750,0.52059250,7.946,2000.0,-3.900,-8.200
TYC 0002-00960-1,3.65231694,1.29686611,7.066,2000.0,14.500,-12.100
TYC 0002-01064-1,2.66970806,2.05549639,7.560,2000.0,-13.200,17.100
TYC 0002-01127-1,4.36984083,0.32098806,7.882,2000.0,20.400,106.500
TYC 0002-01154-1,4.16425028,1.85057861,7.216,2000.0,4.300,12.200
TYC 0002-01237-1,4.98796167,1.58254583,7.735,2000.0,-5.100,5.800
TYC 0002-01558-1,3.44828611,1.38361944,6.917,2000.0,-25.900,-15.800
TYC 0002-01641-1,4.44853222,1.68870444,6.281,2000.0,91.000,9.300
TYC 0003-00498-1,6.48841861,1.94986472,8.493,2000.0,23.700,-12.800
TYC 0003-01102-1,6.07216333,1.55639806,7.846,2000.0,52.000,-105.800
TYC 0003-01464-1,6.35090083,1.93972167,5.864,2000.0,-15.100,-13.800
TYC 0004-00019-1,0.09809222,2.67547861,7.793,2000.0,-2.100,1.300
TYC 0004-00415-1,1.15607250,2.93722389,8.045,2000.0,18.700,0.900
TYC 0004-00417-1,2.09221556,3.44072222,8.109,2000.0,35.200,-35.300
TYC 0004-00582-1,0.91715194,3.90700556,7.932,2000.0,-23.500,-12.100
TYC 0004-00586-1,1.34271194,3.60610639,7.017,2000.0,-22.600,-5.300
TYC 0004-00588-1,2.47912250,4.83249389,7.900,2000.0,11.700,8.500
TYC 0004-00932-1,2.02420111,4.92732639,8.285,2000.0,-39.300,-36.700
TYC 0005-00436-1,2.77349861,4.13310472,7.550,2000.0,9.100,-3.900
TYC 0005-00548-1,3.98871139,4.25114833,7.124,2000.0,20.000,-13.700
TYC 0005-00788-1,4.53293028,3.79676111,7.231,2000.0,-29.800,2.500
TYC 0005-00958-1,3.96516972,2.70229972,8.436,2000.0,-4.000,-11.900
TYC 0006-00053-1,6.93105000,4.60713528,8.097,2000.0,1.500,-30.500
TYC 0006-00502-1,5.98767472,3.76102444,8.003,2000.0,-17.700,-9.500
TYC 0006-00651-1,5.09018278,4.77899556,7.789,2000.0,-16.600,-2.700
TYC 0006-01069-1,5.91045417,2.74304278,7.798,2000.0,22.000,-5.900
TYC 0006-01105-1,5.03972194,3.03357611,7.753,2000.0,9.400,-11.400
TYC 0006-01198-1,6.83443722,2.81411778,7.277,2000.0,-9.400,-4.800
TYC 0006-01226-1,6.13995528,3.37422611,8.441,2000.0,9.400,-30.200
TYC 0006-01248-1,5.18178889,3.44948444,8.203,2000.0,31.000,9.200
TYC 0006-01362-1,6.56869417,3.82575611,6.872,2000.0,17.700,1.300
TYC 0007-00200-1,1.76732611,6.87560667,7.457,2000.0,-35.100,-24.000
TYC 0007-00323-1,0.34660028,6.79148917,7.254,2000.0,-1.300,-7.600
TYC 0007-00325-1,1.17155417,6.52257944,8.477,2000.0,-67.200,-54.700
TYC 0007-00632-1,2.10706861,6.61680500,7.662,2000.0,85.200,-2.600
TYC 0007-00718-1,2.20181250,5.09708417,8.116,2000.0,26.000,9.600
TYC 0007-01160-1,2.20607056,5.14063028,8.476,2000.0,68.600,2.100
TYC 0008-00542-1,3.91083333,5.84383806,7.102,2000.0,40.600,-0.400
TYC 0008-00846-1,3.75011944,5.58836111,8.479,2000.0,-46.900,-39.700
TYC 0009-00007-1,5.02110333,6.29262278,6.966,2000.0,-1.600,11.600
TYC 0009-00272-1,6.57641250,6.09441028,7.896,2000.0,-35.900,-7.800
TYC 0009-00465-1,6.74834194,7.12265417,8.174,2000.0,15.000,10.600
TYC 0009-00753-1,6.44883667,7.13317889,8.111,2000.0,12.200,-2.000
TYC 0011-00343-1,11.27051250,1.78687556,8.136,2000.0,-47.800,-571.900
TYC 0011-00529-1,11.47715833,0.57936417,7.781,2000.0,108.100,19.000
TYC 0011-00723-1,10.50943056,1.02368917,7.943,2000.0,23.700,-20.100
TYC 0011-01122-1,10.10107028,1.13447944,8.412,2000.0,76.300,4.700
TYC 0011-01136-1,11.72020917,0.37699611,8.480,2000.0,12.000,-58.200
TYC 0011-01174-1,10.52804694,1.06353611,7.961,2000.0,-17.700,-37.300
TYC 0011-01228-1,10.39179361,1.74796417,7.918,2000.0,-60.000,-4.700
TYC 0011-01234-1,10.82269861,2.05362556,8.021,2000.0,19.800,0.500
TYC 0011-01296-1,12.13827778,0.38210972,8.229,2000.0,63.400,-26.300
TYC 0011-01301-1,11.29505639,0.25340667,7.061,2000.0,264.700,-51.500
TYC 0012-00104-1,13.75584194,0.78967056,8.159,2000.0,-4.800,-50.100
TYC 0012-00547-1,14.30433611,0.34235056,7.752,2000.0,-4.900,-9.100
TYC 0012-00570-1,14.49617250,2.48632806,8.065,2000.0,39.100,-14.000
TYC 0012-00609-1,13.88829611,0.01969417,8.017,2000.0,-8.400,-49.100
TYC 0012-00742-1,14.42577306,2.09380056,8.032,2000.0,63.000,7.800
TYC 0012-00754-1,14.41521083,1.78558333,7.110,2000.0,9.000,10.800
TYC 0012-00853-1,14.30926222,1.36417139,8.308,2000.0,14.500,-6.600
TYC 0012-01144-1,14.24839028,0.45264889,8.426,2000.0,-0.300,10.400
TYC 0012-01234-1,14.84718972,0.77901528,7.819,2000.0,-25.900,-108.800
TYC 0013-00396-1,7.95730167,4.84621083,8.024,2000.0,0.300,-19.600
TYC 0013-00611-1,8.81517583,4.09335750,8.069,2000.0,9.700,-35.000
TYC 0013-00678-1,8.42040944,4.94783722,8.444,2000.0,90.900,19.100
TYC 0013-00900-1,9.94552778,3.65259444,7.769,2000.0,33.500,32.100
TYC 0013-00974-1,8.86929111,4.29467139,7.660,2000.0,-2.700,0.300
TYC 0013-00993-1,7.92616056,3.75626278,8.313,2000.0,-8.800,-4.300
TYC 0013-01304-1,8.47597833,3.31990611,7.588,2000.0,-12.600,-12.600
TYC 0013-01406-1,9.37684333,3.13549667,6.564,2000.0,90.800,-59.700
TYC 0013-01409-1,9.50226250,2.76366667,7.794,2000.0,12.700,-5.800
TYC 0013-01473-1,9.80345806,3.13322194,7.411,2000.0,782.600,299.400
TYC 0013-01547-1,7.53623306,4.86007611,6.556,2000.0,-19.400,14.700
TYC 0014-00338-1,11.23027694,3.20099306,7.965,2000.0,21.700,2.300
TYC 0014-00515-1,10.33870583,3.59940167,8.320,2000.0,9.300,-2.000
TYC 0014-00570-1,10.20803361,4.47836167,8.074,2000.0,-13.000,-21.700
TYC 0014-00641-1,10.59672722,4.16667306,7.855,2000.0,27.200,-38.400
TYC 0014-01103-1,10.84854806,2.58407222,7.942,2000.0,-7.900,9.400
TYC 0015-00043-1,12.60207194,3.38141611,8.383,2000.0,19.200,-21.900
TYC 0015-00073-1,12.76854278,2.74372083,7.687,2000.0,-12.400,-68.200
