object,ra,dec,dp_id,date_obs,prog_id,access_estsize,access_url,datalink_url,dec_pnt,det_chip1id,det_chop_ncycles,det_dit,det_expid,det_ndit,dp_cat,dp_tech,dp_type,ecl_lat,ecl_lon,exp_start,exposure,filter_path,gal_lat,gal_lon,grat_path,gris_path,ins_mode,instrument,lambda_max,lambda_min,last_mod_date,mjd_obs,ob_id,ob_name,obs_mode,origfile,period,pi_coi,prog_title,prog_type,ra_pnt,release_date,s_region,slit_path,target,tel_airm_end,tel_airm_start,tel_alt,tel_ambi_fwhm_end,tel_ambi_fwhm_start,tel_ambi_pres_end,tel_ambi_pres_start,tel_ambi_rhum,tel_az,telescope,tpl_expno,tpl_id,tpl_name,tpl_nexp,tpl_seqno,tpl_start
ALL SKY,91.42583611,-24.61925,APICAM.2018-03-01T00:13:02.000,2018-03-01T00:13:02.000,60.A-9008(A),33123,https://dataportal.eso.org/dataPortal/file/APICAM.2018-03-01T00:13:02.000,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?APICAM.2018-03-01T00:13:02.000,-24.61925,KAF-16803,,,,,CALIB,IMAGE,SKY,-48.048934,91.939183,2018-03-01T00:13:01.997Z,120.0,LUMINANCE,-20.508396,230.877349,,,,APICAM,,,2018-03-15T08:14:15.717Z,58178.00905092592,,,s,APICAM.2018-03-01T00-13-02.000.fits,60,"HAINAUT, O",APICAM-3: ALL-SKY DEEP CCD IMAGES OF,0,91.425836,2018-03-01T00:13:01.997Z,POSITION J2000 91.425836 -24.61925,,,1.0,1.0,90.0,,,,,,0.0,APICAM,,,,,,
ALL SKY,92.03993111,-24.61819111,APICAM.2018-03-01T00:15:29.000,2018-03-01T00:15:29.000,60.A-9008(A),32828,https://dataportal.eso.org/dataPortal/file/APICAM.2018-03-01T00:15:29.000,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?APICAM.2018-03-01T00:15:29.000,-24.618191,KAF-16803,,,,,CALIB,IMAGE,SKY,-48.03783,92.774053,2018-03-01T00:15:28.997Z,120.0,LUMINANCE,-19.988379,231.093837,,,,APICAM,,,2018-03-15T08:14:15.717Z,58178.01075231482,,,s,APICAM.2018-03-01T00-15-29.000.fits,60,"HAINAUT, O",APICAM-3: ALL-SKY DEEP CCD IMAGES OF,0,92.039931,2018-03-01T00:15:28.997Z,POSITION J2000 92.039931 -24.618191,,,1.0,1.0,90.0,,,,,,0.0,APICAM,,,,,,
ALL SKY,92.65402111,-24.61713305,APICAM.2018-03-01T00:17:56.000,2018-03-01T00:17:56.000,60.A-9008(A),33339,https://dataportal.eso.org/dataPortal/file/APICAM.2018-03-01T00:17:56.000,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?APICAM.2018-03-01T00:17:56.000,-24.617133,KAF-16803,,,,,CALIB,IMAGE,SKY,-48.023174,93.608591,2018-03-01T00:17:55.997Z,120.0,LUMINANCE,-19.46901,231.311364,,,,APICAM,,,2018-03-15T08:14:15.717Z,58178.0124537037,,,s,APICAM.2018-03-01T00-17-56.000.fits,60,"HAINAUT, O",APICAM-3: ALL-SKY DEEP CCD IMAGES OF,0,92.654021,2018-03-01T00:17:55.997Z,POSITION J2000 92.654021 -24.617133,,,1.0,1.0,90.0,,,,,,0.0,APICAM,,,,,,
ALL SKY,93.27228305,-24.61606805,APICAM.2018-03-01T00:20:24.000,2018-03-01T00:20:24.000,60.A-9008(A),32929,https://dataportal.eso.org/dataPortal/file/APICAM.2018-03-01T00:20:24.000,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?APICAM.2018-03-01T00:20:24.000,-24.616068,KAF-16803,,,,,CALIB,IMAGE,SKY,-48.004832,94.448379,2018-03-01T00:20:24Z,120.0,LUMINANCE,-18.946771,231.531444,,,,APICAM,,,2018-03-15T08:14:15.717Z,58178.01416666667,,,s,APICAM.2018-03-01T00-20-24.000.fits,60,"HAINAUT, O",APICAM-3: ALL-SKY DEEP CCD IMAGES OF,0,93.272283,2018-03-01T00:20:24Z,POSITION J2000 93.272283 -24.616068,,,1.0,1.0,90.0,,,,,,0.0,APICAM,,,,,,
ALL SKY,93.88636305,-24.61501194,APICAM.2018-03-01T00:22:51.000,2018-03-01T00:22:51.000,60.A-9008(A),33663,https://dataportal.eso.org/dataPortal/file/APICAM.2018-03-01T00:22:51.000,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?APICAM.2018-03-01T00:22:51.000,-24.615012,KAF-16803,,,,,CALIB,IMAGE,SKY,-47.98306,95.28198,2018-03-01T00:22:51.700Z,120.0,LUMINANCE,-18.428732,231.751127,,,,APICAM,,,2024-10-31T13:17:23.653Z,58178.01586805555,,,s,APICAM.2018-03-01T00-22-51.000.fits,60,"HAINAUT, O",APICAM-3: ALL-SKY DEEP CCD IMAGES OF,0,93.886363,2018-03-01T00:22:51.700Z,POSITION J2000 93.886363 -24.615012,,,1.0,1.0,90.0,,,,,,0.0,APICAM,,,,,,
ALL SKY,94.58816305,-24.61380611,APICAM.2018-03-01T00:25:39.000,2018-03-01T00:25:39.000,60.A-9008(A),33238,https://dataportal.eso.org/dataPortal/file/APICAM.2018-03-01T00:25:39.000,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?APICAM.2018-03-01T00:25:39.000,-24.613806,KAF-16803,,,,,CALIB,IMAGE,SKY,-47.953849,96.233923,2018-03-01T00:25:38.997Z,120.0,LUMINANCE,-17.837518,232.003555,,,,APICAM,,,2024-10-31T13:17:23.653Z,58178.0178125,,,s,APICAM.2018-03-01T00-25-39.000.fits,60,"HAINAUT, O",APICAM-3: ALL-SKY DEEP CCD IMAGES OF,0,94.588163,2018-03-01T00:25:38.997Z,POSITION J2000 94.588163 -24.613806,,,1.0,1.0,90.0,,,,,,0.0,APICAM,,,,,,
ALL SKY,95.20223194,-24.61275194,APICAM.2018-03-01T00:28:06.000,2018-03-01T00:28:06.000,60.A-9008(A),32920,https://dataportal.eso.org/dataPortal/file/APICAM.2018-03-01T00:28:06.000,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?APICAM.2018-03-01T00:28:06.000,-24.612752,KAF-16803,,,,,CALIB,IMAGE,SKY,-47.924509,97.066122,2018-03-01T00:28:05.997Z,120.0,LUMINANCE,-17.320947,232.225648,,,,APICAM,,,2018-03-15T08:14:15.717Z,58178.01951388889,,,s,APICAM.2018-03-01T00-28-06.000.fits,60,"HAINAUT, O",APICAM-3: ALL-SKY DEEP CCD IMAGES OF,0,95.202232,2018-03-01T00:28:05.997Z,POSITION J2000 95.202232 -24.612752,,,1.0,1.0,90.0,,,,,,0.0,APICAM,,,,,,
ALL SKY,95.81629694,-24.6117,APICAM.2018-03-01T00:30:33.000,2018-03-01T00:30:33.000,60.A-9008(A),32933,https://dataportal.eso.org/dataPortal/file/APICAM.2018-03-01T00:30:33.000,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?APICAM.2018-03-01T00:30:33.000,-24.6117,KAF-16803,,,,,CALIB,IMAGE,SKY,-47.891653,97.89753,2018-03-01T00:30:32.997Z,120.0,LUMINANCE,-16.805079,232.448906,,,,APICAM,,,2024-10-31T13:17:23.653Z,58178.02121527777,,,s,APICAM.2018-03-01T00-30-33.000.fits,60,"HAINAUT, O",APICAM-3: ALL-SKY DEEP CCD IMAGES OF,0,95.816297,2018-03-01T00:30:32.997Z,POSITION J2000 95.816297 -24.6117,,,1.0,1.0,90.0,,,,,,0.0,APICAM,,,,,,
ALL SKY,96.43035694,-24.61065,APICAM.2018-03-01T00:33:00.000,2018-03-01T00:33:00.000,60.A-9008(A),33113,https://dataportal.eso.org/dataPortal/file/APICAM.2018-03-01T00:33:00.000,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?APICAM.2018-03-01T00:33:00.000,-24.61065,KAF-16803,,,,,CALIB,IMAGE,SKY,-47.855291,98.728059,2018-03-01T00:33:00.300Z,120.0,LUMINANCE,-16.289926,232.673354,,,,APICAM,,,2024-10-31T13:17:23.653Z,58178.02291666667,,,s,APICAM.2018-03-01T00-33-00.000.fits,60,"HAINAUT, O",APICAM-3: ALL-SKY DEEP CCD IMAGES OF,0,96.430357,2018-03-01T00:33:00.300Z,POSITION J2000 96.430357 -24.61065,,,1.0,1.0,90.0,,,,,,0.0,APICAM,,,,,,
ALL SKY,97.05694305,-24.60957888,APICAM.2018-03-01T00:35:30.000,2018-03-01T00:35:30.000,60.A-9008(A),32750,https://dataportal.eso.org/dataPortal/file/APICAM.2018-03-01T00:35:30.000,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?APICAM.2018-03-01T00:35:30.000,-24.609579,KAF-16803,,,,,CALIB,IMAGE,SKY,-47.814583,99.574539,2018-03-01T00:35:29.997Z,120.0,LUMINANCE,-15.765009,232.903631,,,,APICAM,,,2018-03-15T08:14:15.717Z,58178.02465277778,,,s,APICAM.2018-03-01T00-35-30.000.fits,60,"HAINAUT, O",APICAM-3: ALL-SKY DEEP CCD IMAGES OF,0,97.056943,2018-03-01T00:35:29.997Z,POSITION J2000 97.056943 -24.609579,,,1.0,1.0,90.0,,,,,,0.0,APICAM,,,,,,
