star_id,ra_deg,dec_deg,mag,reference_epoch_jyear,pm_ra_cosdec_mas_per_year,pm_dec_mas_per_year
TYC 0001-00293-1,2.36674861,1.24402806,7.401,2000.0,25.900,6.500
TYC 0001-00680-1,2.21766000,0.69244306,7.497,2000.0,4.300,4.200
TYC 0001-00903-1,0.69642389,2.13037306,7.399,2000.0,62.200,-93.700
TYC 0002-00709-1,4.51506500,0.61663500,7.268,2000.0,-3.000,5.700
TYC 0002-00960-1,3.65231694,1.29686611,7.066,2000.0,14.500,-12.100
TYC 0002-01154-1,4.16425028,1.85057861,7.216,2000.0,4.300,12.200
TYC 0002-01558-1,3.44828611,1.38361944,6.917,2000.0,-25.900,-15.800
TYC 0002-01641-1,4.44853222,1.68870444,6.281,2000.0,91.000,9.300
TYC 0003-01464-1,6.35090083,1.93972167,5.864,2000.0,-15.100,-13.800
TYC 0004-00586-1,1.34271194,3.60610639,7.017,2000.0,-22.600,-5.300
TYC 0005-00548-1,3.98871139,4.25114833,7.124,2000.0,20.000,-13.700
TYC 0005-00788-1,4.53293028,3.79676111,7.231,2000.0,-29.800,2.500
TYC 0006-01198-1,6.83443722,2.81411778,7.277,2000.0,-9.400,-4.800
TYC 0006-01362-1,6.56869417,3.82575611,6.872,2000.0,17.700,1.300
TYC 0007-00200-1,1.76732611,6.87560667,7.457,2000.0,-35.100,-24.000
TYC 0007-00323-1,0.34660028,6.79148917,7.254,2000.0,-1.300,-7.600
TYC 0008-00542-1,3.91083333,5.84383806,7.102,2000.0,40.600,-0.400
TYC 0009-00007-1,5.02110333,6.29262278,6.966,2000.0,-1.600,11.600
TYC 0011-01301-1,11.29505639,0.25340667,7.061,2000.0,264.700,-51.500
TYC 0012-00754-1,14.41521083,1.78558333,7.110,2000.0,9.000,10.800
TYC 0013-01406-1,9.37684333,3.13549667,6.564,2000.0,90.800,-59.700
TYC 0013-01473-1,9.80345806,3.13322194,7.411,2000.0,782.600,299.400
TYC 0013-01547-1,7.53623306,4.86007611,6.556,2000.0,-19.400,14.700
TYC 0015-00958-1,13.33130917,4.08630528,7.201,2000.0,-43.200,-35.600
TYC 0015-01194-1,12.82629972,3.38516722,6.488,2000.0,21.700,-66.000
TYC 0016-01423-1,8.09898667,6.95545639,5.676,2000.0,31.900,4.100
TYC 0017-01353-1,11.84843444,6.74098083,6.067,2000.0,13.700,-15.000
TYC 0017-01398-1,12.09400417,5.28325139,5.828,2000.0,757.300,-1135.400
TYC 0017-01413-1,12.07228194,7.29991917,6.036,2000.0,112.000,4.000
TYC 0018-00018-1,14.58098944,6.84432500,6.844,2000.0,30.200,-7.600
TYC 0018-00040-1,14.95697917,6.48323833,6.341,2000.0,19.400,-7.300
TYC 0018-00698-1,13.83139000,6.85422972,7.484,2000.0,38.700,5.900
TYC 0019-00995-1,16.18169250,2.31380833,7.334,2000.0,4.300,-41.300
TYC 0019-01406-1,16.99826806,1.99404583,6.541,2000.0,142.300,-429.600
TYC 0019-01437-1,15.95399972,1.36694000,6.097,2000.0,122.500,-40.700
TYC 0020-00595-1,19.29078889,2.01526972,7.362,2000.0,-2.200,7.600
TYC 0020-00628-1,18.89843972,0.91244833,6.721,2000.0,40.800,2.300
TYC 0020-01166-1,17.63982000,2.44570611,6.119,2000.0,-9.100,-15.200
TYC 0020-01220-1,18.12809722,2.47182778,6.592,2000.0,-175.900,-106.500
TYC 0021-00119-1,20.65381972,1.72644028,6.383,2000.0,65.500,-45.300
TYC 0021-01171-1,21.33362056,1.46100139,7.469,2000.0,67.900,-60.900
TYC 0022-00250-1,16.52398111,3.27472750,7.441,2000.0,36.700,-25.200
TYC 0022-00812-1,16.42457972,4.19863778,7.411,2000.0,12.300,-42.600
TYC 0022-01278-1,16.45509750,4.90865472,6.389,2000.0,25.900,-119.700
TYC 0022-01354-1,16.46424722,4.90971417,7.257,2000.0,27.500,-125.700
TYC 0023-01341-1,19.44992750,3.61451750,5.147,2000.0,-47.800,-22.700
